name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
Noel blanc;1954;Tous Public;120;['Comedy', 'Musical', 'Romance'];7.5;56;A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.;['Michael Curtiz'];['Bing Crosby', 'Danny Kaye', 'Rosemary Clooney', 'Vera-Ellen']
Une etoile est nee;1954;Tous publics;154;['Drama', 'Musical', 'Romance'];7.5;89;A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.;['George Cukor'];['Judy Garland', 'James Mason', 'Jack Carson', 'Charles Bickford']
Comment l'esprit vient aux femmes;1950;Tous publics;103;['Comedy', 'Drama', 'Romance'];7.5;0;A tycoon hires a tutor to teach his lover proper etiquette, with unexpected results.;['George Cukor'];['Judy Holliday', 'William Holden', 'Broderick Crawford', 'Howard St. John']
Madame porte la culotte;1949;Tous Public;101;['Comedy', 'Romance'];7.5;87;Domestic and professional tensions mount when a husband and wife work as opposing lawyers in a case involving a woman who shot her husband.;['George Cukor'];['Spencer Tracy', 'Katharine Hepburn', 'Judy Holliday', 'Tom Ewell']
Honni soit qui mal y pense;1947;Tous Public;109;['Comedy', 'Drama', 'Fantasy'];7.5;72;A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.;['Henry Koster'];['Cary Grant', 'Loretta Young', 'David Niven', 'Monty Woolley']
Le chant du Missouri;1944;Tous publics;113;['Comedy', 'Drama', 'Family'];7.5;94;Young love and childish fears highlight a year in the life of a turn-of-the-century family.;['Vincente Minnelli'];['Judy Garland', 'Margaret OBrien', 'Mary Astor', 'Lucille Bremer']
Madame et ses flirts;1942;Tous Public;88;['Comedy', 'Romance'];7.5;0;A New York inventor needs cash to develop his big idea, so his adoring wife decides to raise it by divorcing him and marrying an eccentric Florida millionaire with a capricious high-society sister.;['Preston Sturges'];['Claudette Colbert', 'Joel McCrea', 'Mary Astor', 'Rudy Vallee']
Les Hauts de Hurlevent;1939;Tous publics;104;['Drama', 'Romance'];7.5;0;A servant in the house of Wuthering Heights tells a traveler the unfortunate tale of lovers Cathy and Heathcliff.;['William Wyler'];['Merle Oberon', 'Laurence Olivier', 'David Niven', 'Flora Robson']
Victoire sur la nuit;1939;Tous publics;104;['Drama', 'Romance'];7.5;0;A young socialite is diagnosed with an inoperable brain tumor, and must decide whether or not she'll meet her final days with dignity.;['Edmund Goulding'];['Bette Davis', 'George Brent', 'Humphrey Bogart', 'Geraldine Fitzgerald']
Sur les ailes de la danse;1936;Tous Public;103;['Comedy', 'Musical', 'Romance'];7.5;91;"Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks.";['George Stevens'];['Fred Astaire', 'Ginger Rogers', 'Victor Moore', 'Helen Broderick']
Palm Springs;2020;16;90;['Comedy', 'Fantasy', 'Mystery'];7.4;83;Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.;['Max Barbakow'];['Andy Samberg', 'Cristin Milioti', 'J.K. Simmons', 'Peter Gallagher']
La belle epoque;2019;Tous publics;115;['Comedy', 'Drama', 'Fantasy'];7.4;75;A couple in crisis. He, disillusioned, sees his life upset the day an entrepreneur offers him to plunge back into the time of his choice.;['Nicolas Bedos'];['Daniel Auteuil', 'Guillaume Canet', 'Doria Tillier', 'Fanny Ardant']
Downton Abbey;2019;Tous publics;122;['Drama', 'Romance'];7.4;64;The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.;['Michael Engler'];['Stephen Campbell Moore', 'Michael Fox', 'Lesley Nicol', 'Sophie McShera']
Une vie cachee;2019;Tous publics;174;['Biography', 'Drama', 'Romance'];7.4;78;The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.;['Terrence Malick'];['August Diehl', 'Valerie Pachner', 'Maria Simon', 'Karin Neuhäuser']
Phantom Thread;2017;Tous publics;130;['Drama', 'Romance'];7.4;90;Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.;['Paul Thomas Anderson'];['Vicky Krieps', 'Daniel Day-Lewis', 'Lesley Manville', 'Julie Vollono']
